Scene_ID,Chapitre,Description,Prompt_Whisk,Prompt_Flow,Prompt_Midjourney
S03,Contre-offensive,"Scène historique — toucouleur army on the march","Cinematic historical portrait/scene, toucouleur army on the march, Empire toucouleur, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","toucouleur army on the march. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","toucouleur army on the march, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
S04,Chute,"Scène historique — siege of Médine 1857, chaos and smoke","Cinematic historical portrait/scene, siege of Médine 1857, chaos and smoke, Empire toucouleur, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","siege of Médine 1857, chaos and smoke. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","siege of Médine 1857, chaos and smoke, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
S05,Oubli,"Scène historique — French colonial troops with artillery on the river","Cinematic historical portrait/scene, French colonial troops with artillery on the river, Empire toucouleur, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","French colonial troops with artillery on the river. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","French colonial troops with artillery on the river, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
S06,Héritage,"Scène historique — fortified town under attack","Cinematic historical portrait/scene, fortified town under attack, Empire toucouleur, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","fortified town under attack. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","fortified town under attack, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
S07,Hook,"Scène historique — tense parley between toucouleur and French envoys","Cinematic historical portrait/scene, tense parley between toucouleur and French envoys, Empire toucouleur, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","tense parley between toucouleur and French envoys. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","tense parley between toucouleur and French envoys, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
S08,Contexte,"Scène historique — town burning, aftermath of an assault","Cinematic historical portrait/scene, town burning, aftermath of an assault, Empire toucouleur, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","town burning, aftermath of an assault. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","town burning, aftermath of an assault, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
S09,Ascension,"Scène historique — proclamation of the jihad, gathering crowd","Cinematic historical portrait/scene, proclamation of the jihad, gathering crowd, Empire toucouleur, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","proclamation of the jihad, gathering crowd. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","proclamation of the jihad, gathering crowd, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
S10,Guerre,"Scène historique — retreat through the cliffs of Bandiagara","Cinematic historical portrait/scene, retreat through the cliffs of Bandiagara, Empire toucouleur, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","retreat through the cliffs of Bandiagara. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","retreat through the cliffs of Bandiagara, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
C01,Contexte,"Carte — map of the Toucouleur Empire at its height","Antique-style historical map, map of the Toucouleur Empire at its height, parchment texture, labeled, muted tones, documentary infographic, 16:9","map of the Toucouleur Empire at its height. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","map of the Toucouleur Empire at its height, antique map style, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
C02,Ascension,"Carte — map of the jihad campaign routes","Antique-style historical map, map of the jihad campaign routes, parchment texture, labeled, muted tones, documentary infographic, 16:9","map of the jihad campaign routes. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","map of the jihad campaign routes, antique map style, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
C03,Guerre,"Carte — map of French expansion along the Senegal River","Antique-style historical map, map of French expansion along the Senegal River, parchment texture, labeled, muted tones, documentary infographic, 16:9","map of French expansion along the Senegal River. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","map of French expansion along the Senegal River, antique map style, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
C04,Contre-offensive,"Carte — map of the siege of Médine 1857","Antique-style historical map, map of the siege of Médine 1857, parchment texture, labeled, muted tones, documentary infographic, 16:9","map of the siege of Médine 1857. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","map of the siege of Médine 1857, antique map style, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
C05,Chute,"Carte — map of the eastward expansion toward Ségou and Macina","Antique-style historical map, map of the eastward expansion toward Ségou and Macina, parchment texture, labeled, muted tones, documentary infographic, 16:9","map of the eastward expansion toward Ségou and Macina. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","map of the eastward expansion toward Ségou and Macina, antique map style, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
E01,Chute,"Image émotionnelle — tearful close-up, grief of a people","Cinematic historical portrait/scene, tearful close-up, grief of a people, Empire toucouleur, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","tearful close-up, grief of a people. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","tearful close-up, grief of a people, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
E02,Guerre,"Image émotionnelle — open Quran and prayer beads, faith and war","Cinematic historical portrait/scene, open Quran and prayer beads, faith and war, Empire toucouleur, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","open Quran and prayer beads, faith and war. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","open Quran and prayer beads, faith and war, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
E03,Chute,"Image émotionnelle — broken sword in the sand, fallen state","Cinematic historical portrait/scene, broken sword in the sand, fallen state, Empire toucouleur, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","broken sword in the sand, fallen state. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","broken sword in the sand, fallen state, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
E04,Oubli,"Image émotionnelle — fading manuscript, forgotten memory","Cinematic historical portrait/scene, fading manuscript, forgotten memory, Empire toucouleur, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","fading manuscript, forgotten memory. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","fading manuscript, forgotten memory, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
E05,Héritage,"Image émotionnelle — candle / memory, remembrance and legacy","Cinematic historical portrait/scene, candle / memory, remembrance and legacy, Empire toucouleur, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","candle / memory, remembrance and legacy. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","candle / memory, remembrance and legacy, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
