Scene_ID,Chapitre,Description,Prompt_Whisk,Prompt_Flow,Prompt_Midjourney
S01,Ascension,"Scène historique — royal court of Royaume du Cayor, ceremony","Cinematic historical portrait/scene, royal court of Royaume du Cayor, ceremony, Royaume du Cayor, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","royal court of Royaume du Cayor, ceremony. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","royal court of Royaume du Cayor, ceremony, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
S02,Guerre,"Scène historique — daily life in Royaume du Cayor before the war","Cinematic historical portrait/scene, daily life in Royaume du Cayor before the war, Royaume du Cayor, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","daily life in Royaume du Cayor before the war. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","daily life in Royaume du Cayor before the war, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
S03,Contre-offensive,"Scène historique — army of Lat Dior Ngoné Latyr Diop marching","Cinematic historical portrait/scene, army of Lat Dior Ngoné Latyr Diop marching, Royaume du Cayor, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","army of Lat Dior Ngoné Latyr Diop marching. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","army of Lat Dior Ngoné Latyr Diop marching, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
S04,Chute,"Scène historique — major battle of the conflict, chaos and smoke","Cinematic historical portrait/scene, major battle of the conflict, chaos and smoke, Royaume du Cayor, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","major battle of the conflict, chaos and smoke. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","major battle of the conflict, chaos and smoke, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
S05,Oubli,"Scène historique — colonial troops advancing with artillery","Cinematic historical portrait/scene, colonial troops advancing with artillery, Royaume du Cayor, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","colonial troops advancing with artillery. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","colonial troops advancing with artillery, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
S06,Héritage,"Scène historique — siege / fortified position under attack","Cinematic historical portrait/scene, siege / fortified position under attack, Royaume du Cayor, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","siege / fortified position under attack. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","siege / fortified position under attack, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
S07,Hook,"Scène historique — negotiation or tense diplomatic meeting","Cinematic historical portrait/scene, negotiation or tense diplomatic meeting, Royaume du Cayor, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","negotiation or tense diplomatic meeting. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","negotiation or tense diplomatic meeting, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
S08,Contexte,"Scène historique — village burning, aftermath of an assault","Cinematic historical portrait/scene, village burning, aftermath of an assault, Royaume du Cayor, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","village burning, aftermath of an assault. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","village burning, aftermath of an assault, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
S09,Ascension,"Scène historique — capture or surrender scene, solemn","Cinematic historical portrait/scene, capture or surrender scene, solemn, Royaume du Cayor, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","capture or surrender scene, solemn. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","capture or surrender scene, solemn, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
S10,Guerre,"Scène historique — exile / deportation by ship or convoy","Cinematic historical portrait/scene, exile / deportation by ship or convoy, Royaume du Cayor, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","exile / deportation by ship or convoy. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","exile / deportation by ship or convoy, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
C01,Contexte,"Carte — map of Royaume du Cayor showing the kingdom at its height","Antique-style historical map, map of Royaume du Cayor showing the kingdom at its height, parchment texture, labeled, muted tones, documentary infographic, 16:9","map of Royaume du Cayor showing the kingdom at its height. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","map of Royaume du Cayor showing the kingdom at its height, antique map style, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
C02,Ascension,"Carte — map of military campaign routes and battles","Antique-style historical map, map of military campaign routes and battles, parchment texture, labeled, muted tones, documentary infographic, 16:9","map of military campaign routes and battles. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","map of military campaign routes and battles, antique map style, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
C03,Guerre,"Carte — map of colonial expansion pressing the borders","Antique-style historical map, map of colonial expansion pressing the borders, parchment texture, labeled, muted tones, documentary infographic, 16:9","map of colonial expansion pressing the borders. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","map of colonial expansion pressing the borders, antique map style, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
C04,Contre-offensive,"Carte — map locating the decisive battle site (Dékheulé)","Antique-style historical map, map locating the decisive battle site (Dékheulé), parchment texture, labeled, muted tones, documentary infographic, 16:9","map locating the decisive battle site (Dékheulé). Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","map locating the decisive battle site (Dékheulé), antique map style, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
C05,Chute,"Carte — railway route Dakar–Saint-Louis vs Cayor territory","Antique-style historical map, railway route Dakar–Saint-Louis vs Cayor territory, parchment texture, labeled, muted tones, documentary infographic, 16:9","railway route Dakar–Saint-Louis vs Cayor territory. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","railway route Dakar–Saint-Louis vs Cayor territory, antique map style, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
E01,Chute,"Image émotionnelle — tearful close-up, grief of a people","Cinematic historical portrait/scene, tearful close-up, grief of a people, Royaume du Cayor, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","tearful close-up, grief of a people. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","tearful close-up, grief of a people, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
E02,Guerre,"Image émotionnelle — horse Malaw on the battlefield, symbolic","Cinematic historical portrait/scene, horse Malaw on the battlefield, symbolic, Royaume du Cayor, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","horse Malaw on the battlefield, symbolic. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","horse Malaw on the battlefield, symbolic, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
E03,Chute,"Image émotionnelle — broken crown / symbol of a fallen kingdom","Cinematic historical portrait/scene, broken crown / symbol of a fallen kingdom, Royaume du Cayor, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","broken crown / symbol of a fallen kingdom. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","broken crown / symbol of a fallen kingdom, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
E04,Oubli,"Image émotionnelle — hands in chains, loss of freedom","Cinematic historical portrait/scene, hands in chains, loss of freedom, Royaume du Cayor, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","hands in chains, loss of freedom. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","hands in chains, loss of freedom, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
E05,Héritage,"Image émotionnelle — candle / memory, remembrance and legacy","Cinematic historical portrait/scene, candle / memory, remembrance and legacy, Royaume du Cayor, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","candle / memory, remembrance and legacy. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","candle / memory, remembrance and legacy, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
